;;;;;;;Bill of Material;;;;;;;;;
;;;;;;;BOM-600161-GA;;;;;;;;;
;;;;;Rev.;Par ;Description;Date;;;;;;;;
Equipment :;;GA;;;0;F.E.;For fabrication;2 sept. 2021;;;;;;;;
Number of unit(s) :;;1;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
BILL OF MATERIAL;;;;;;;;;;;;;;;;
Item;Description;WIDE;LONG;THK;Qt'y;Material;Dimensions;"Individual part weight
[lbs]";Bend Radius;Neutral Factor;"Total part
weight
[lbs]";Order;"Total
weight
[lbs]";;;
;;;;;;;;;;;;;;;;
01-01;CLADDING SPLICE 01;PLATE BY FLEXTOR;;;4;SS409;PL. 12GA;;;;0,00;4;0,00;;;
01-02;CLADDING SPLICE 02;PLATE BY FLEXTOR;;;16;SS409;PL. 12GA;;;;0,00;16;0,00;;;
01-03;CLADDING SPLICE 03;PLATE BY FLEXTOR;;;8;SS409;PL. 12GA;;;;0,00;8;0,00;;;
01-04;CLADDING SPLICE 04;PLATE BY FLEXTOR;;;4;SS409;PL. 12GA;;;;0,00;4;0,00;;;
01-05;CLADDING SPLICE 05;PLATE BY FLEXTOR;;;2;SS409;PL. 12GA;;;;0,00;2;0,00;;;
01-06;CLADDING SPLICE 06;PLATE BY FLEXTOR;;;2;SS409;PL. 12GA;;;;0,00;2;0,00;;;
01-07;CLADDING SPLICE 07;PLATE BY FLEXTOR;;;2;SS409;PL. 12GA;;;;0,00;2;0,00;;;
01-07M;CLADDING SPLICE 07M;PLATE BY FLEXTOR;;;2;SS409;PL. 12GA;;;;0,00;2;0,00;;;
01-08;CLADDING SPLICE 08;PLATE BY FLEXTOR;;;8;SS409;PL. 12GA;;;;0,00;8;0,00;;;
01-09;CLADDING SPLICE 09;PLATE BY FLEXTOR;;;6;SS409;PL. 12GA;;;;0,00;6;0,00;;;
01-10;CLADDING SPLICE 10;PLATE BY FLEXTOR;;;6;SS409;PL. 12GA;;;;0,00;6;0,00;;;
01-11;CLADDING SPLICE 11;PLATE BY FLEXTOR;;;4;SS409;PL. 12GA;;;;0,00;4;0,00;;;
01-12;CLADDING SPLICE 12;PLATE BY FLEXTOR;;;4;SS409;PL. 12GA;;;;0,00;4;0,00;;;
01-13;CLADDING SPLICE 13;PLATE BY FLEXTOR;;;2;SS409;PL. 12GA;;;;0,00;2;0,00;;;
01-13M;CLADDING SPLICE 13M;PLATE BY FLEXTOR;;;2;SS409;PL. 12GA;;;;0,00;2;0,00;;;
01-14;CLADDING SPLICE 14;PLATE BY FLEXTOR;;;2;SS409;PL. 12GA;;;;0,00;2;0,00;;;
01-15;CLADDING SPLICE 15;PLATE BY FLEXTOR;;;2;SS409;PL. 12GA;;;;0,00;2;0,00;;;
01-16;CLADDING SPLICE 16;PLATE BY FLEXTOR;;;2;SS409;PL. 12GA;;;;0,00;2;0,00;;;
01-17;CLADDING SPLICE 17;PLATE BY FLEXTOR;;;8;SS409;PL. 12GA;;;;0,00;8;0,00;;;
01-18;CLADDING SPLICE 18;PLATE BY FLEXTOR;;;2;SS409;PL. 12GA;;;;0,00;2;0,00;;;
01-18M;CLADDING SPLICE 18M;PLATE BY FLEXTOR;;;2;SS409;PL. 12GA;;;;0,00;2;0,00;;;
01-19;CLADDING SPLICE 19;PLATE BY FLEXTOR;;;2;SS409;PL. 12GA;;;;0,00;2;0,00;;;
01-20;CLADDING SPLICE 20;PLATE BY FLEXTOR;;;12;SS409;PL. 12GA;;;;0,00;12;0,00;;;
01-21;CLADDING SPLICE 21;PLATE BY FLEXTOR;;;4;SS409;PL. 12GA;;;;0,00;4;0,00;;;
02-01;SUPPORT PT 01;;;;1;G40.21 350W;"PIPE 2"" (2.375"" O.D. X 0.154"" THK)";0.779;;;0,78;1;0,78;;;
02-02;SUPPORT PT 02;;;;1;G40.21 350W;"PL. 3/8""";38.970;;;38,97;1;38,97;;;
FWN-21;FLAT WASHER;;;;16;GR.5, ZN PL.;"3/8"" N";;;;0,00;16;0,00;;;
FWN-36;FLAT WASHER;;;;52;A-325 GAL.;"3/4"" N";;;;0,00;52;0,00;;;
FWN-46;FLAT WASHER;;;;1226;A-325 GAL.;"1/2"" N";;;;0,00;1226;0,00;;;
HB-0403;HEX. BOLT;;;;8;GR.5, ZN PL.;"3/8"" - 16 x 1 1/2"" LG";;;;0,00;8;0,00;;;
HB-0850;HEAVY HEX. BOLT;;;;52;A-325 GAL.;"3/4"" - 10 x 2 1/4"" LG";;;;0,00;52;0,00;;;
HB-0968;HEX. BOLT;;;;50;A-325 GAL.;"1/2"" - 13 x 2"" LG";;;;0,00;50;0,00;;;
HB-0998;HEX. BOLT;;;;740;A-325 GAL.;"1/2"" - 13 x 1 3/4"" LG";;;;0,00;740;0,00;;;
HN-0021;NUT;;;;8;GR.5, ZN PL.;"3/8"" - 16";;;;0,00;8;0,00;;;
HN-0064;NUT;;;;436;A-325 GAL.;"1/2"" - 13";;;;0,00;436;0,00;;;
LW-021;LOCK WASHER;;;;8;GR.5, ZN PL.;"3/8""";;;;0,00;8;0,00;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
