Item ULC,Qty,# Dessin Detail,Det,Ass,CLIENT,Description,Materiel,,,,,,,,,Lot #,,,
1060-001,4,600161-GA,1,,01-01,PL. 12GA X 84-13/16 X 3,SS409,,,,X,,,,,CBR,,,
1060-002,16,600161-GA,2,,01-02,PL. 12GA X 3 X 3 ,SS409,,,,,,,,,CBR,,,
1060-003,8,600161-GA,3,,01-03,PL. 12GA X 42 X 3,SS409,,,,,,,,,CBR,,,
1060-004,4,600161-GA,4,,01-04,PL. 12GA X 62.799 X 3,SS409,,,,X,,,,,CBR,,,
1060-005,2,600161-GA,5,,01-05,PL. 12GA 53 X 3.299,SS409,,,,X,,,,,CBR,,,
1060-006,2,600161-GA,6,,01-06,PL. 12GA 31 X 3.299,SS409,,,,X,,,,,CBR,,,
1060-007,2,600161-GA,7,,01-07,PL. 12GA X 73.799 X 3.299,SS409,,,,X,,,,,CBR,,,
1060-008,2,600161-GA,8,,01-07M,PL. 12GA X 73.799 X 3.299,SS409,,,,X,,,,,CBR,,,
1060-009,8,600161-GA,9,,01-08,PL. 12GA 3 X 3.089,SS409,,,,X,,,,,CBR,,,
1060-010,6,600161-GA,10,,01-09,PL. 12GA X 3 X 3 ,SS409,,,,X,,,,,CBR,,,
1060-011,6,600161-GA,11,,01-10,PL. 12GA X 54.828 X 3 ,SS409,,,,X,,,,,CBR,,,
1060-012,4,600161-GA,12,,01-11,PL. 12GA X 3 X 3 ,SS409,,,,X,,,,,CBR,,,
1060-013,4,600161-GA,13,,01-12,PL. 12GA X 61.330 X 3,SS409,,,,X,,,,,CBR,,,
1060-014,2,600161-GA,14,,01-13,PL. 12GA 73.799 X 3,SS409,,,,X,,,,,CBR,,,
1060-015,2,600161-GA,15,,01-13M,PL. 12GA 73.799 X 3,SS409,,,,X,,,,,CBR,,,
1060-016,2,600161-GA,16,,01-14,PL. 12GA X 34 X 2,SS409,,,,X,,,,,CBR,,,
1060-017,2,600161-GA,17,,01-15,PL. 12GA X 31 X 3,SS409,,,,X,,,,,CBR,,,
1060-018,2,600161-GA,18,,01-16,PL. 12GA X 53 X 3,SS409,,,,X,,,,,CBR,,,
1060-019,8,600161-GA,19,,01-17,PL. 12GA 3 X 3 ,SS409,,,,X,,,,,CBR,,,
1060-020,2,600161-GA,20,,01-18,PL. 12GA 47.799 X 2,SS409,,,,X,,,,,CBR,,,
1060-021,2,600161-GA,21,,01-18M,PL. 12GA 47.799 X 2,SS409,,,,X,,,,,CBR,,,
1060-022,2,600161-GA,22,,01-19,PL. 12GA X 29 X 2,SS409,,,,X,,,,,CBR,,,
1060-023,12,600161-GA,23,,01-20,PL. 12GA 3 X 2 ,SS409,,,,X,,,,,CBR,,,
1060-024,4,600161-GA,24,,01-21,PL. 12GA X 34.500 X 2,SS409,,,,X,,,,,CBR,,,
1060-025,1,600161-GA,25,,02-01,"PIPE 2"" (2.375"" O.D. X 0.154"" THK) X 10 LG.",G40.21 350W,X,,,,,,,,Mï¿½GANTIC,,,
1060-026,1,600161-GA,26,,02-02,"PL. 3/8"" X 20 X 5.160",G40.21 350W,,,,X,,,,,CBR,,,
1060-027,16,600161-GA,27,,FWN-21,"3/8"" N",GR.5. ZN PL.,,,,,,,,,BOULONS,,,
1060-028,52,600161-GA,28,,FWN-36,"3/4"" N",A-325 GAL.,,,,,,,,,BOULONS,,,
1060-029,1226,600161-GA,29,,FWN-46,"1/2"" N",A-325 GAL.,,,,,,,,,BOULONS,,,
1060-030,8,600161-GA,30,,HB-0403,"3/8"" - 16 x 1 1/2"" LG",GR.5. ZN PL.,,,,,,,,,BOULONS,,,
1060-031,52,600161-GA,31,,HB-0850,"3/4"" - 10 x 2 1/4"" LG",A-325 GAL.,,,,,,,,,BOULONS,,,
1060-032,50,600161-GA,32,,HB-0968,"1/2"" - 13 x 2"" LG",A-325 GAL.,,,,,,,,,BOULONS,,,
1060-033,740,600161-GA,33,,HB-0998,"1/2"" - 13 x 1 3/4"" LG",A-325 GAL.,,,,,,,,,BOULONS,,,
1060-034,8,600161-GA,34,,HN-0021,"3/8"" - 16",GR.5. ZN PL.,,,,,,,,,BOULONS,,,
1060-035,436,600161-GA,35,,HN-0064,"1/2"" - 13",A-325 GAL.,,,,,,,,,BOULONS,,,
1060-036,8,600161-GA,36,,LW-021,"3/8""",GR.5. ZN PL.,,,,,,,,,BOULONS,,,
